,Name,Team,GP,MPG,ORPM,DRPM,RPM,WINS
243,"Kyle Singler, SF",DET,82,28.5,-0.83,-0.14,-0.97,2.03
244,"Glen Davis, PF",LAC/ORL,68,24.4,-3.22,2.22,-1.00,1.35
245,"Troy Daniels, SG",HOU,5,15.0,0.51,-1.51,-1.00,0.06
246,"Nick Young, SG",LAL,64,28.3,0.91,-1.92,-1.01,1.57
247,"Beno Udrih, PG",NY/MEM,41,15.7,0.42,-1.45,-1.03,0.52
248,"Shawn Marion, SG",DAL,76,31.7,-1.72,0.67,-1.05,1.94
249,"Lavoy Allen, PF",IND/PHI,65,16.5,-3.07,2.02,-1.05,0.91
250,"Jeff Teague, PG",ATL,79,32.2,-0.22,-0.84,-1.06,2.05
251,"Greg Smith, PF",HOU,11,9.1,-0.94,-0.14,-1.08,0.08
252,"Tayshaun Prince, SF",MEM,76,25.6,-1.46,0.35,-1.11,1.42
253,"Elton Brand, PF",ATL,73,19.4,-2.84,1.72,-1.12,1.09
254,"Dante Cunningham, SF",MIN,81,20.2,-1.28,0.14,-1.14,1.24
255,"Giannis Antetokounmpo, PF",MIL,77,24.6,0.66,-1.80,-1.14,1.40
256,"Hasheem Thabeet, C",OKC,23,8.3,-4.74,3.58,-1.16,0.15
257,"Chris Copeland, SF",IND,41,6.5,0.76,-1.93,-1.17,0.18
258,"Ian Mahinmi, C",IND,77,16.2,-4.93,3.75,-1.18,0.89
259,"Malcolm Thomas, PF",SA/UTAH,8,7.9,-0.98,-0.22,-1.20,0.04
260,"Andre Roberson, SG",OKC,40,10.0,-1.56,0.34,-1.22,0.29
261,"Trey Burke, PG",UTAH,70,32.3,2.02,-3.25,-1.23,1.54
262,"Robert Covington, SF",HOU,7,4.9,-1.35,0.11,-1.24,0.02
263,"Cole Aldrich, C",NY,46,7.2,-2.06,0.80,-1.26,0.22
264,"Randy Foye, SG",DEN,81,30.7,-0.05,-1.22,-1.27,1.76
265,"Chris Johnson, SG",BOS,40,19.7,-0.08,-1.19,-1.27,0.53
266,"Jeremy Lamb, SG",OKC,78,19.7,-0.33,-0.97,-1.30,1.01
267,"Kelly Olynyk, C",BOS,70,20.0,0.38,-1.71,-1.33,0.90
268,"Henry Sims, C",CLE/PHI,46,19.0,-2.41,1.05,-1.36,0.55
269,"Ronny Turiaf, C",MIN,31,19.5,-4.10,2.72,-1.38,0.37
270,"Kyrie Irving, PG",CLE,71,35.2,1.98,-3.38,-1.40,1.45
271,"Terrence Jones, PF",HOU,76,27.3,0.49,-1.90,-1.41,1.23
272,"Jeff Adrien, SF",MIL/CHA,53,18.1,-0.99,-0.43,-1.42,0.55
273,"Wayne Ellington, SG",DAL,45,8.7,0.15,-1.58,-1.43,0.23
274,"Terrence Ross, SG",TOR,81,26.7,0.95,-2.38,-1.43,1.22
275,"Mike Miller, SG",MEM,82,20.8,1.59,-3.03,-1.44,0.93
276,"Anthony Morrow, SG",NO,76,18.8,0.34,-1.81,-1.47,0.75
277,"Toney Douglas, PG",GS/MIA,51,13.2,0.32,-1.80,-1.48,0.36
278,"Allen Crabbe, SG",POR,15,6.7,-0.44,-1.04,-1.48,0.05
279,"Rodney Stuckey, PG",DET,73,26.7,1.73,-3.24,-1.51,1.02
280,"Leandro Barbosa, SG",PHX,20,18.4,-0.32,-1.20,-1.52,0.19
281,"Gerald Green, SG",PHX,82,28.4,-0.43,-1.11,-1.54,1.20
282,"Solomon Hill, SF",IND,28,8.1,-0.71,-0.84,-1.55,0.10
283,"James Johnson, PF",MEM,52,18.4,-2.12,0.54,-1.58,0.44
